File,Physical_LOC,Source_LOC,Comment_LOC,Comment_Density,Cyclomatic_Complexity,Average_Function_Complexity,Function_Count,Halstead_Volume,Halstead_Difficulty,Halstead_Effort,Maintainability_Index,Maintainability_Rating,Max_Nesting_Level,Coupling_Indicator,Interfaces,Types,Enums
"packages/claude/src/db/database.ts",51,22,29,56.86%,4,1.50,2,401.69,11.48,4611.41,121.21,"Good",2,6,N/A,N/A,N/A
"packages/claude/src/index.ts",52,42,10,19.23%,6,1.00,3,1082.36,11.79,12760.40,100.69,"Good",4,7,N/A,N/A,N/A
"packages/claude/src/middleware/auth.ts",15,7,8,53.33%,3,2.00,1,138.24,5.14,710.96,146.06,"Good",3,2,1,N/A,N/A
"packages/claude/src/models/Book.ts",8,N/A,8,0.00%,1,0.00,N/A,24.00,0.00,0.00,120.56,"Good",1,1,1,N/A,N/A
"packages/claude/src/models/User.ts",6,N/A,6,0.00%,1,0.00,N/A,15.51,0.00,0.00,127.49,"Good",1,1,1,N/A,N/A
"packages/claude/src/routes/auth.ts",99,93,6,6.06%,17,3.20,5,2307.55,27.14,62633.55,70.99,"Moderate",4,5,N/A,N/A,N/A
"packages/claude/src/routes/books.ts",117,115,2,1.71%,21,4.00,5,3128.04,40.50,126685.65,57.23,"Difficult to maintain",4,6,N/A,1,N/A
"packages/cursor/src/index.ts",93,67,26,27.96%,11,1.11,9,1678.39,13.47,22609.67,92.96,"Good",3,6,N/A,N/A,N/A
"packages/cursor/src/middleware/auth.ts",89,42,47,52.81%,17,3.00,5,1126.63,22.89,25782.42,102.96,"Good",4,6,1,N/A,N/A
"packages/cursor/src/models/Book.ts",41,N/A,41,0.00%,1,0.00,N/A,84.00,0.00,0.00,87.57,"Good",1,4,4,N/A,N/A
"packages/cursor/src/models/User.ts",42,N/A,42,0.00%,1,0.00,N/A,69.19,0.00,0.00,88.19,"Good",1,4,4,N/A,N/A
"packages/cursor/src/routes/auth.ts",176,137,39,22.16%,20,3.80,5,3243.15,32.50,105402.43,73.92,"Moderate",5,5,N/A,N/A,N/A
"packages/cursor/src/routes/books.ts",169,145,24,14.20%,28,5.40,5,3652.55,39.70,145019.75,66.36,"Moderate",6,5,N/A,2,N/A
"packages/cursor/src/services/DatabaseService.ts",315,128,187,59.37%,23,0.00,N/A,3855.58,29.68,114428.10,76.07,"Moderate",5,6,N/A,N/A,N/A
"packages/deepseek/src/db.ts",93,42,51,54.84%,16,2.14,7,1109.40,18.80,20856.72,103.01,"Good",2,10,N/A,N/A,N/A
"packages/deepseek/src/index.ts",92,109,-17,0.00%,16,2.14,7,2485.30,30.10,74811.70,53.41,"Difficult to maintain",4,1,N/A,N/A,N/A
"packages/gemini/src/database.ts",27,5,22,81.48%,2,1.00,1,101.58,5.69,577.73,142.38,"Good",1,3,N/A,N/A,N/A
"packages/gemini/src/index.ts",148,171,-23,0.00%,41,2.67,15,4656.55,40.79,189935.76,36.70,"Difficult to maintain",5,6,1,2,N/A
"packages/gpt/src/auth.ts",28,23,5,17.86%,4,1.50,2,436.71,11.36,4959.81,114.93,"Good",2,4,1,N/A,N/A
"packages/gpt/src/database.ts",132,113,2,1.74%,41,13.67,N/A,6236.90,57.39,357957.68,39.55,"Critical",3,5,N/A,N/A,N/A
"packages/gpt/src/index.ts",301,280,21,6.98%,61,5.00,12,8896.00,45.49,404647.78,37.12,"Difficult to maintain",5,10,N/A,N/A,N/A
"packages/gpt/src/session.ts",41,29,12,29.27%,8,0.00,N/A,578.25,18.26,10559.33,113.10,"Good",3,3,N/A,N/A,N/A
"packages/gpt/src/types.ts",23,N/A,23,0.00%,1,0.00,N/A,64.72,0.00,0.00,98.29,"Good",1,3,3,N/A,N/A
"packages/gpt/src/validators.ts",81,60,21,25.93%,23,4.40,5,1522.59,28.08,42748.32,91.89,"Good",3,4,1,N/A,N/A
"packages/grok/src/auth.ts",41,33,N/A,0.00%,11,11,N/A,1316.62,34.62,45577.12,74.48,"Low",3,4,N/A,N/A,N/A
"packages/grok/src/book.ts",47,39,N/A,0.00%,21,21,N/A,2313.03,51.58,119303.55,66.54,"Low",3,3,N/A,N/A,N/A
"packages/grok/src/database.ts",97,57,40,41.24%,22,0.00,N/A,1494.00,24.41,36475.85,95.76,"Good",4,5,2,N/A,N/A
"packages/grok/src/index.ts",114,123,-9,0.00%,16,1.50,10,3302.47,25.32,83610.84,48.46,"Difficult to maintain",3,7,N/A,1,N/A
